유기번호,발견장소,품종,색상,나이,체중,성별,중성화여부,특징
"444449202401410","서북구 성거읍 소우리 6-1","[개] 믹스견","갈색","2022(년생)","11.5(Kg)","F","U","소심하지만 사람을 좋아함 , 순함"
"444449202401409","서북구 성환읍 어룡리 314-5","[개] 믹스견","갈색","2021(년생)","10(Kg)","M","N","소심하지만 순함 "
"444449202401390","서북구 성환읍 왕지1길 154 벌농장","[개] 믹스견","갈색","2019(년생)","13(Kg)","F","U","순하고 사람을 좋아함 , 골반골절"
"444449202401387","동남구 광덕면 보산원리 18","[개] 믹스견","흰색","2020(년생)","18(Kg)","F","U","순함 , 목줄을 한 자국이 있음, 심장사상충 양성"
"444449202401385","동남구 쉼1길 42 천안삼거리휴게소","[개] 믹스견","미색","2020(년생)","17(Kg)","M","N","초록색 목줄을 착용한 채 구조 , 겁이 많음, 심장사상충 양성"
"444449202401378","서북구 성환읍 송덕리 194-1","[개] 믹스견","갈+흰","2024(년생)","3.3(Kg)","M","N","6마리 함께 구조 , 3개월 추정"
"444449202401377","서북구 성환읍 송덕리 194-1","[개] 믹스견","흰색","2024(년생)","3.6(Kg)","M","N","6마리 함께 구조 , 3개월 추정"
"444449202401372","동남구 목천읍 응원1길 33-62 매립장","[개] 믹스견","갈색","2024(년생)","5.6(Kg)","F","N","진드기 감염 , 경계있음 , 7개월 추정"
"444449202401363","동남구 목천읍 응원리 쓰레기 매립장","[개] 믹스견","갈색","2020(년생)","7.9(Kg)","M","N","진드기 감염, 겁은 있으나 사람을 싫어하지 않음"
"444449202401361","동남구 목천읍 충절로 577","[개] 믹스견","검정","2024(60일미만)(년생)","1.8(Kg)","F","N","265번의 자견, 45일 추정"
"444449202401357","동남구 목천읍 충절로 577","[개] 믹스견","미색","2024(60일미만)(년생)","1.6(Kg)","F","N","264번의 자견"
"444449202401345","동남구 목천읍 응원리 279-5 매립장","[개] 믹스견","갈색","2024(년생)","6.2(Kg)","M","N","진드기 감염 , 사람을 싫어하지 않으나 겁이 많음 ,8개월 추정"
"444449202401332","동남구 풍세로 839 대성자동차학원 앞 고물상","[개] 믹스견","검정","2019(년생)","12.5(Kg)","M","N","겁은 있지만 사람을 싫어하지 않음 , 순함, 심장사상충 양성 "
"444449202401324","서북구 성환읍 율금1길 94-10","[개] 믹스견","검갈","2021(년생)","14.5(Kg)","M","N","잠복고환 , 순함"
